config_id,fold,hidden_size,num_layers,dropout,learning_rate,batch_size,val_mse,val_rmse,n_epochs,wall_time_sec
0,0,256,1,0.0,0.000754669641079693,128,271.7622567320754,16.485213275298424,50,81.94358491897583
0,1,256,1,0.0,0.000754669641079693,128,226.0484111913442,15.03490642442926,50,76.5201005935669
0,2,256,1,0.0,0.000754669641079693,128,240.71267176251376,15.514917716910837,50,76.7123122215271
0,3,256,1,0.0,0.000754669641079693,128,302.3328940695733,17.38772250956327,50,76.55712676048279
0,4,256,1,0.0,0.000754669641079693,128,292.8164903195149,17.1118815540406,50,76.41365671157837
1,0,32,2,0.047088673943824766,0.008938089586343595,256,1699.9880699056707,41.230911582278544,19,18.046320915222168
1,1,32,2,0.047088673943824766,0.008938089586343595,256,1694.8859235568818,41.16899225821397,18,17.699787378311157
1,2,32,2,0.047088673943824766,0.008938089586343595,256,1700.9017056595949,41.241989593854406,18,16.86836004257202
1,3,32,2,0.047088673943824766,0.008938089586343595,256,314.85622208466253,17.744188403098704,50,47.832924365997314
1,4,32,2,0.047088673943824766,0.008938089586343595,256,1700.3721786517885,41.23556933827625,15,14.302935361862183
2,0,256,2,0.3930321526384769,0.00018039615030067863,512,1699.988016595529,41.23091093579584,50,110.15432476997375
2,1,256,2,0.3930321526384769,0.00018039615030067863,512,1695.0279538294485,41.17071718867001,50,105.2937650680542
2,2,256,2,0.3930321526384769,0.00018039615030067863,512,1700.9017760147005,41.24199044680919,50,104.3026614189148
2,3,256,2,0.3930321526384769,0.00018039615030067863,512,1700.6417386813957,41.238837746490816,50,103.76715207099915
2,4,256,2,0.3930321526384769,0.00018039615030067863,512,803.0026205777912,28.337300869662783,50,104.88986706733704
3,0,128,1,0.0,0.0071372346904019736,128,1700.012280338082,41.23120517688128,22,28.11449646949768
3,1,128,1,0.0,0.0071372346904019736,128,1694.8785028029913,41.16890213259265,20,26.04718255996704
3,2,128,1,0.0,0.0071372346904019736,128,1700.9024506086892,41.241998625293235,20,26.210227966308594
3,3,128,1,0.0,0.0071372346904019736,128,344.3423893294205,18.556464893115297,42,55.98064374923706
3,4,128,1,0.0,0.0071372346904019736,128,311.9081919773,17.660922738557577,31,40.317686796188354
4,0,128,2,0.411380806635415,0.0007705989229173013,128,251.26400112950054,15.851309129832165,50,82.9625015258789
