config_id,fold,hidden_size,num_layers,dropout,learning_rate,batch_size,val_mse,val_rmse,n_epochs,wall_time_sec
7,2,32,1,0.0,0.0061128289383324905,512,1716.8701601329878,41.435131955057024,50,12.717084407806396
7,3,32,1,0.0,0.0061128289383324905,512,1718.1201288345758,41.45021265125881,50,12.994630813598633
7,4,32,1,0.0,0.0061128289383324905,512,1716.9182308964155,41.43571202352405,50,12.850799798965454
8,0,256,2,0.09731935392598379,0.0008579105479001713,128,1717.671935671352,41.44480589496532,34,45.77408051490784
8,1,256,2,0.09731935392598379,0.0008579105479001713,128,1716.8766442306317,41.4352101989435,20,27.38846206665039
8,2,256,2,0.09731935392598379,0.0008579105479001713,128,1716.8603159982679,41.43501316517551,27,37.46174764633179
8,3,256,2,0.09731935392598379,0.0008579105479001713,128,1718.109925996273,41.45008957766283,30,41.921056270599365
8,4,256,2,0.09731935392598379,0.0008579105479001713,128,190.21293897886534,13.791770697733678,50,71.13658881187439
9,0,128,1,0.0,0.002323260488552255,64,158.87699435621923,12.604641778179149,50,41.28462052345276
9,1,128,1,0.0,0.002323260488552255,64,127.2678408467655,11.281304926592734,50,40.62368154525757
9,2,128,1,0.0,0.002323260488552255,64,109.32802600703324,10.456004304084484,50,41.29571270942688
9,3,128,1,0.0,0.002323260488552255,64,164.68703004679548,12.83304445744639,33,27.549466133117676
9,4,128,1,0.0,0.002323260488552255,64,160.69077034876864,12.676386328475818,50,40.56550145149231
10,0,128,2,0.483754866217105,0.0004483846290786353,512,1870.4664705705884,43.248889818937414,50,31.268855810165405
10,1,128,2,0.483754866217105,0.0004483846290786353,512,1869.6868378678103,43.23987555333399,50,31.260100841522217
10,2,128,2,0.483754866217105,0.0004483846290786353,512,1869.598701033197,43.23885637980261,50,32.52260994911194
10,3,128,2,0.483754866217105,0.0004483846290786353,512,1869.7746151985377,43.240890545854135,50,32.74550819396973
10,4,128,2,0.483754866217105,0.0004483846290786353,512,1870.0969683952524,43.24461779684557,50,32.583247900009155
11,0,32,1,0.0,0.0002393000107750474,128,2964.5393382076386,54.44758340098887,50,24.719074487686157
11,1,32,1,0.0,0.0002393000107750474,128,2965.214437780935,54.45378258469227,50,24.35290002822876
11,2,32,1,0.0,0.0002393000107750474,128,2965.3218797866325,54.45476911884424,50,24.348360061645508
11,3,32,1,0.0,0.0002393000107750474,128,2963.7089552573107,54.43995734070069,50,24.425153017044067
11,4,32,1,0.0,0.0002393000107750474,128,2965.609957783691,54.45741416725266,50,24.104769945144653
12,0,32,1,0.0,0.0008941489120323654,128,328.7806922240522,18.132310724892516,50,24.294126987457275
12,1,32,1,0.0,0.0008941489120323654,128,266.1112383350122,16.312916303807,50,24.16675591468811
12,2,32,1,0.0,0.0008941489120323654,128,242.49744435029461,15.572329445214503,50,24.23641586303711
12,3,32,1,0.0,0.0008941489120323654,128,328.5140920796526,18.124957712492808,50,24.03089928627014
12,4,32,1,0.0,0.0008941489120323654,128,323.256783284892,17.97934323841925,50,23.910674810409546
