config_id,fold,hidden_size,num_layers,dropout,learning_rate,batch_size,val_mse,val_rmse,n_epochs,wall_time_sec
0,0,256,1,0.0,0.000754669641079693,128,315.5379552363715,17.763388056234415,49,67.9880154132843
0,1,256,1,0.0,0.000754669641079693,128,261.9002576526493,16.183332711547685,46,56.65181803703308
0,2,256,1,0.0,0.000754669641079693,128,292.585057929645,17.105117887043193,44,54.124099254608154
0,3,256,1,0.0,0.000754669641079693,128,281.71851632176333,16.784472476719767,50,61.33528709411621
0,4,256,1,0.0,0.000754669641079693,128,346.5803472778614,18.616668533275803,49,60.58067274093628
1,0,32,2,0.047088673943824766,0.008938089586343595,256,1750.3761952317113,41.83749747812017,17,13.912811756134033
1,1,32,2,0.047088673943824766,0.008938089586343595,256,260.07714134820503,16.1269073708571,50,38.630295276641846
1,2,32,2,0.047088673943824766,0.008938089586343595,256,291.080931221981,17.061094080450438,49,37.73232579231262
1,3,32,2,0.047088673943824766,0.008938089586343595,256,280.8844286385891,16.7596070550174,39,29.547162294387817
1,4,32,2,0.047088673943824766,0.008938089586343595,256,1750.9185598299355,41.843978776281965,15,11.49709439277649
2,0,256,2,0.3930321526384769,0.00018039615030067863,512,1750.3852429577914,41.83760560736945,50,88.38607263565063
2,1,256,2,0.3930321526384769,0.00018039615030067863,512,1751.0334789056096,41.84535193908171,50,87.05894994735718
2,2,256,2,0.3930321526384769,0.00018039615030067863,512,1750.5460658482143,41.839527552880114,50,87.07698225975037
2,3,256,2,0.3930321526384769,0.00018039615030067863,512,1750.399135344662,41.83777163454887,50,86.90415358543396
2,4,256,2,0.3930321526384769,0.00018039615030067863,512,1750.925122037797,41.84405718901786,50,86.75994753837585
3,0,128,1,0.0,0.0071372346904019736,128,326.7052169304562,18.074988711765663,47,49.37232208251953
3,1,128,1,0.0,0.0071372346904019736,128,264.81553144037764,16.273153702966663,41,42.59543228149414
3,2,128,1,0.0,0.0071372346904019736,128,297.95050075607185,17.261242734984982,50,53.175432443618774
3,3,128,1,0.0,0.0071372346904019736,128,305.30043134303565,17.472848403824592,38,39.565805435180664
3,4,128,1,0.0,0.0071372346904019736,128,339.31368316503443,18.42046913531342,49,51.56199288368225
4,0,128,2,0.411380806635415,0.0007705989229173013,128,323.0590007755033,17.97384212614274,44,60.77136182785034
4,1,128,2,0.411380806635415,0.0007705989229173013,128,256.1523000511792,16.004758668945286,50,69.58717846870422
4,2,128,2,0.411380806635415,0.0007705989229173013,128,285.9851499678597,16.91109546918412,40,55.19957971572876
4,3,128,2,0.411380806635415,0.0007705989229173013,128,287.4272021632041,16.953678130812914,41,56.711463928222656
4,4,128,2,0.411380806635415,0.0007705989229173013,128,1750.917911722992,41.843971031953835,18,24.824514627456665
5,0,32,1,0.0,0.0001341635410168892,256,3967.7269386907824,62.98989552849554,50,34.63912510871887
